game_id,character,coins,spaces
1,Mario,0,65
1,Luigi,0,77
1,Peach,0,76
1,Daisy,0,65
1,Wario,-6,102
1,Waluigi,-6,82
1,Yoshi,0,51
1,Rosalina,12,55
1,Donkey Kong,25,70
1,Diddy Kong,2,77
1,Goomba,14,57
1,Shy Guy,0,68
1,Koopa Troopa,0,84
1,Monty Mole,5,65
1,Bowser,-24,82
1,Bowser Jr.,0,70
1,Boo,-16,68
1,Hammer Bro.,12,52
1,Dry Bones,0,40
1,Pom Pom,0,58
2,Mario,0,68
2,Luigi,0,61
2,Peach,0,44
2,Daisy,0,65
2,Wario,-14,78
2,Waluigi,-12,52
2,Yoshi,0,55
2,Rosalina,18,53
2,Donkey Kong,15,80
2,Diddy Kong,0,91
2,Goomba,12,60
2,Shy Guy,0,60
2,Koopa Troopa,0,69
2,Monty Mole,2,68
2,Bowser,-12,115
2,Bowser Jr.,0,58
2,Boo,-16,76
2,Hammer Bro.,3,59
2,Dry Bones,0,70
2,Pom Pom,0,60
3,Mario,0,78
3,Luigi,0,69
3,Peach,0,52
3,Daisy,0,66
3,Wario,-12,84
3,Waluigi,-18,64
3,Yoshi,0,71
3,Rosalina,14,46
3,Donkey Kong,20,90
3,Diddy Kong,6,84
3,Goomba,18,49
3,Shy Guy,0,64
3,Koopa Troopa,0,61
3,Monty Mole,6,60
3,Bowser,-30,86
3,Bowser Jr.,0,73
3,Boo,-16,76
3,Hammer Bro.,9,41
3,Dry Bones,0,70
3,Pom Pom,0,65
4,Mario,0,77
4,Luigi,0,66
4,Peach,0,72
4,Daisy,0,67
4,Wario,-12,84
4,Waluigi,-9,67
4,Yoshi,0,61
4,Rosalina,12,54
4,Donkey Kong,30,50
4,Diddy Kong,10,42
4,Goomba,20,42
4,Shy Guy,0,64
4,Koopa Troopa,0,62
4,Monty Mole,2,69
4,Bowser,-21,92
4,Bowser Jr.,0,52
4,Boo,-6,103
4,Hammer Bro.,9,53
4,Dry Bones,0,70
4,Pom Pom,0,79
5,Mario,0,57
5,Luigi,0,80
5,Peach,0,78
5,Daisy,0,65
5,Wario,-18,66
5,Waluigi,-6,64
5,Yoshi,0,55
5,Rosalina,12,58
5,Donkey Kong,20,60
5,Diddy Kong,8,70
5,Goomba,18,45
5,Shy Guy,0,52
5,Koopa Troopa,0,42
5,Monty Mole,2,61
5,Bowser,-12,89
5,Bowser Jr.,0,78
5,Boo,-16,62
5,Hammer Bro.,18,38
5,Dry Bones,0,70
5,Pom Pom,0,47
6,Mario,0,66
6,Luigi,0,75
6,Peach,0,70
6,Daisy,0,67
6,Wario,-12,84
6,Waluigi,-6,68
6,Yoshi,0,94
6,Rosalina,16,44
6,Donkey Kong,15,70
6,Diddy Kong,10,63
6,Goomba,8,74
6,Shy Guy,0,72
6,Koopa Troopa,0,75
6,Monty Mole,3,79
6,Bowser,-12,116
